method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,Unnamed: 0
STGCN,0.3,rand,4,2,linear,50,0.9830100536346436,144.03872179985046,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9810999035835266,138.74513220787048,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9645217061042786,241.1894378662109,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9678301811218262,211.31829047203064,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.952148139476776,281.3383536338806,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,1.0052211284637451,443.0262200832367,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.9790924787521362,299.83590960502625,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.96544748544693,424.9453856945038,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9688125848770142,102.2763125896454,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9715750217437744,247.5308351516724,LRGCN,
STGCN,0.7,rand,4,2,linear,50,1.0194745063781738,228.40677213668823,LRGCN,
STGCN,0.8,rand,4,2,linear,50,1.0010380744934082,147.73926210403442,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9599655866622924,376.0182554721832,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.965961456298828,341.3838746547699,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.959775686264038,408.4946188926697,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9877832531929016,319.90160608291626,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.963616132736206,214.89716148376465,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9775306582450868,233.58614706993103,LRGCN,
STGCN,0.7,rand,4,2,linear,50,1.006569266319275,171.39974331855774,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9776431918144226,116.12641048431396,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.978172779083252,453.6307542324066,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.975936472415924,309.9965171813965,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.980784237384796,443.9666476249695,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.980912446975708,351.4922468662262,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.969296932220459,222.80615973472595,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9724181294441224,180.97101354599,LRGCN,
STGCN,0.7,rand,4,2,linear,50,1.043176531791687,181.76580834388733,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9579536318778992,207.55430126190183,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9867628812789916,389.27361035346985,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9592533111572266,400.3025331497192,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.9737279415130616,393.566465139389,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9876526594161988,373.22490072250366,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9600598812103271,201.5734453201294,LRGCN,
STGCN,0.5,rand,4,2,linear,50,1.0488144159317017,220.1480169296265,LRGCN,
STGCN,0.7,rand,4,2,linear,50,1.0312917232513428,178.48894333839417,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9955791234970092,115.29981970787048,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9609405994415284,457.6721358299256,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9968112707138062,251.99689149856567,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.9861722588539124,449.1673126220703,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9984008073806764,263.20047521591187,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9636878967285156,225.933069229126,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9775996208190918,225.28381156921387,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9729231595993042,170.68191528320312,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.998692274093628,96.84082055091858,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9654078483581544,460.5839695930481,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,1.0427460670471191,264.71931076049805,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.9696236848831176,457.87668538093567,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9787981510162354,267.3816249370575,LRGCN,
STGCN,0.3,rand,4,2,linear,50,1.0019716024398804,243.03077697753903,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9620288014411926,228.7974190711975,LRGCN,
STGCN,0.7,rand,4,2,linear,50,1.0051472187042236,148.6147103309631,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.982654869556427,130.91306924819946,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9660988450050354,453.9629855155945,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9737008213996888,293.071483373642,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.958280086517334,446.357417345047,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9933335781097412,301.0785322189331,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.979537844657898,234.33364081382751,LRGCN,
