method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
IT-STGCN,0.3,rand,4,12,linear,50,1.405353307723999,7.603248834609985,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.3772060871124268,6.9004082679748535,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.6678537130355835,8.370769023895264,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.8706672191619875,7.737831115722656,GComvGRU
STGCN,0.0,,4,12,,50,1.1979641914367676,5.90595817565918,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.427429437637329,5.275243759155273,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.4994481801986694,5.280457019805908,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.6871399879455566,5.268267393112183,GComvGRU
STGCN,0.8,rand,4,12,linear,50,2.0908524990081787,5.26220703125,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.0930068492889404,5.846210718154907,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.2062411308288574,5.841543197631836,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.5155590772628784,5.834598064422607,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.4236271381378174,5.848623037338257,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.553400635719299,5.849995374679565,GComvGRU
STGCN,0.0,,4,12,,50,1.1831523180007937,1.7128329277038574,DyGrEncoder
STGCN,0.3,rand,4,12,linear,50,1.277613878250122,1.5664069652557373,DyGrEncoder
STGCN,0.5,rand,4,12,linear,50,1.4735748767852783,1.5777487754821775,DyGrEncoder
STGCN,0.6,rand,4,12,linear,50,1.3891222476959229,1.545469045639038,DyGrEncoder
