dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.429848551750183,7.938258409500122,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.6137813329696655,7.963406324386597,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.2301297187805176,7.945141553878784,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.3858590126037598,6.006670475006104,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.2522590160369873,5.719981670379639,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.470168948173523,5.691664695739746,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,2.0617458820343018,6.43023943901062,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.3521370887756348,7.542917728424072,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.4050755500793457,7.117542028427124,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.5252680778503418,7.753382921218872,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.6545323133468628,6.388751029968262,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.3672261238098145,5.671495676040649,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.3865761756896973,6.077200412750244,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.6605010032653809,6.360424041748047,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.6989091634750366,5.830647230148315,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.3216631412506104,6.6339521408081055,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.349730134010315,6.75645899772644,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.5904072523117063,7.3270158767700195,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,2.02791714668274,7.992609977722168,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.3456727266311646,6.010066986083984,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.4394967555999756,5.888410329818726,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.6350867748260498,6.526783227920532,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.762295126914978,5.931115388870239,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.5351643562316897,7.548020601272583,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.2732678651809692,7.142941951751709,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.8035683631896973,7.042559385299683,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.5805785655975342,6.801771640777588,GConvGRU
pedalme,STGCN,0.2857142857142857,block,4,12.0,linear,50.0,1.2759960889816284,6.611716032028198,GConvGRU
pedalme,STGCN,0.2857142857142857,block,4,12.0,nearest,50.0,1.2908416986465454,8.488929986953735,GConvGRU
pedalme,IT-STGCN,0.2857142857142857,block,4,12.0,linear,50.0,1.2542901039123535,8.574979305267334,GConvGRU
pedalme,IT-STGCN,0.2857142857142857,block,4,12.0,nearest,50.0,1.271006464958191,8.141970157623291,GConvGRU
pedalme,STGCN,0.2857142857142857,block,4,12.0,linear,50.0,1.198200225830078,7.096672534942627,GConvGRU
pedalme,STGCN,0.2857142857142857,block,4,12.0,nearest,50.0,1.3597545623779297,6.590439558029175,GConvGRU
pedalme,IT-STGCN,0.2857142857142857,block,4,12.0,linear,50.0,1.357722282409668,8.058849334716797,GConvGRU
