,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
6428,fivenodes,STGCN,0.0,,2,4.0,,50.0,1.1949524879455566,25.495291709899902,GCLSTM
6429,fivenodes,STGCN,0.0,,2,4.0,,50.0,1.2037460803985596,25.826024532318115,GCLSTM
6430,fivenodes,IT-STGCN,0.0,,2,4.0,,50.0,1.2010548114776611,33.2826406955719,GCLSTM
6431,fivenodes,IT-STGCN,0.0,,2,4.0,,50.0,1.2034878730773926,31.45364475250244,GCLSTM
6432,fivenodes,STGCN,0.0,,2,4.0,,50.0,1.236290693283081,26.45577883720398,GCLSTM
6433,fivenodes,STGCN,0.0,,2,4.0,,50.0,1.205654501914978,25.599278926849365,GCLSTM
6434,fivenodes,IT-STGCN,0.0,,2,4.0,,50.0,1.2263948917388916,30.2427020072937,GCLSTM
6435,fivenodes,IT-STGCN,0.0,,2,4.0,,50.0,1.2354841232299805,31.462910413742065,GCLSTM
6436,fivenodes,STGCN,0.0,,2,4.0,,50.0,1.2028725147247314,26.29478144645691,GCLSTM
6437,fivenodes,STGCN,0.0,,2,4.0,,50.0,1.2865920066833496,24.504828929901123,GCLSTM
