dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.744357824325561,113.470520734787,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.2881537675857544,131.4381308555603,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.1621503829956057,133.36037850379944,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.3169059753417969,136.73138737678528,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.4164539575576782,142.71472334861755,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.7064740657806396,117.96751928329468,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.091085433959961,116.51358222961426,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.2460505962371826,120.51510500907898,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.7443320751190186,115.44584941864014,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1760776042938232,136.77687001228333,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.1858528852462769,140.1418263912201,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.3014367818832395,134.6567189693451,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.4333477020263672,133.56217455863953,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.883683204650879,120.75965070724487,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.3330986499786377,118.32078742980956,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.002340316772461,114.88249135017396,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.977863073348999,119.64156103134157,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.135783314704895,132.90165901184082,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.0937221050262451,132.62098240852356,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.4333775043487549,136.90396070480347,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.3977298736572266,137.84718871116638,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.9203935861587524,115.16574001312256,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.224569082260132,116.53916239738464,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.280877113342285,117.74118971824646,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.732271194458008,117.88735842704772,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.14458429813385,139.6315882205963,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.1228395700454712,139.87588357925415,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.4332921504974363,134.94219064712524,GConvGRU
